sample	T-cells	B-cells	Treg	Macrophages	Th1 cells	CD45	Exhausted CD8	DC	Cytotoxic cells	NK CD56dim cells	Neutrophils	Mast cells	NK cells	CD8 T cells	igA_Bcells	igG_Bcells	igMD_Bcells
BA2452R	3.0248732515	0.25451592544444446	0.488936421	2.39065781875	2.3458202	7.641355062	4.57053131575	-1.283519723	4.1737096749000004	-0.5429109783333333	1.9729981011428572	1.1965081278	1.7032076866666666	1.2804009055	7.0488404325000005	5.48765209025	6.578156
BA2922R	5.6586454071666665	3.874666548888889	1.645231208	1.6066893312500001	3.514527186	8.891229428	4.653891364750001	-1.426032917	5.296542773	0.8303759363333334	3.5725193095714287	2.3897871936	0.30893773199999996	5.4731020745	8.2321954265	7.170824044	9.7750862885
BA2707R	2.7843793825	2.491565152777778	-0.678720436	3.84816037325	2.874973591	6.665643923	4.865791117	0.570510286	4.6309826606	0.7525568856666667	4.383078359571429	5.3165639158	1.5227561743333333	3.1757016625	5.618082792	2.65988634575	7.4144764855
BA2409R	5.279199806333334	2.9450478083333334	2.281908698	5.162620701	3.824269457	9.719842098	4.6664372274999995	4.611504431	4.6669627033	-0.18258191099999999	6.461295632000001	0.8948766264	1.8055945463333334	4.036925714	6.606922358	5.953741209	7.4426269265
BA2480R	3.8970262769999997	0.9745590627777778	0.989571292	1.6779338595	3.891447291	9.736297709	3.92432362075	-3.909080558	5.1349046179	-0.8356642343333333	4.237327716428571	7.0506943014	1.8031918980000001	4.1293367585	7.3187835670000005	2.5678297055	5.8092786885
BA2496R	3.9678739388333333	1.5296563380000001	1.15238411	4.07207340075	3.485698373	9.148630874	4.15960461625	-0.633612006	4.4037906007	-1.4686558379999999	8.222230041571429	4.7697789154	1.2127231126666667	4.003779952	8.468914335	7.23506223025	6.5516554295
BA3037R	2.6668609058333335	0.8486009278888889	-0.311019674	1.3968864994999999	1.885307826	8.576593987	4.80025725625	-2.216977867	2.7635647053	-0.5681597273333333	2.5091108095714287	3.33960147	0.7195806056666667	2.3982232655	3.5580748365000003	3.1157327007499998	6.780362161499999
BA2236R	3.3218501184999996	0.6189440112222222	0.379510084	2.9449384952499997	2.182375983	8.865367411	4.46353942775	-0.404193883	3.9988237314000004	-1.227311192	5.618333491571429	5.2759577488	1.1654056356666667	2.6010089205	5.481326580499999	4.52246951025	6.428485880999999
BA2172R	2.2392748883333335	-2.325364672666667	-0.56909391	3.91534811275	1.34249067	8.184160358	2.820196697	-2.87599727	4.1175939713	-0.6174795463333334	2.3136748985714286	4.0703384434	0.8579531063333333	4.258938473500001	4.8525436575	3.761960979	4.5171014685
BA2865R	2.0351538848333335	1.892036095	-0.50262985	1.29045154075	0.459550107	8.65006117	4.74721188875	-4.135089305	2.2061022750999997	-1.4944756989999999	2.958312326571429	4.2879228108	0.10331637833333339	0.9608396735	5.4258624075	3.2466343175	5.653263964500001
BA2923R	2.3225521728333334	-0.04221923455555555	-1.488532145	5.010868203	2.762342056	9.06667487	3.27726217775	2.261333777	3.6285988957	-0.9295925356666666	5.824311170714286	-0.9302670490000001	0.201063468	2.9479010155000003	4.176967728	1.3735825742499999	3.02767376
BA2003R	2.0806663028333334	-1.2183989824444443	-0.940696846	1.89406811075	0.637418609	8.194112604	3.1489974545	-2.63015444	2.5702479081000003	-1.585540422	6.297316824571428	5.3336427076	-1.1019373126666667	0.8147005724999999	0.5434214125	-1.36109279325	4.554433876
BA2751R	3.2155491824999998	2.0140736504444443	0.080384665	3.786555337	1.293512368	8.586422361	3.7784795210000004	-0.628608655	2.6822601451	-0.6745656093333333	3.1897736845714286	5.3993566746	0.3652381573333333	1.3027091915	5.734393637	3.5827186335	5.829998433
BA3395R	4.0399346356666666	-0.42405357566666674	1.203051988	3.29885743275	1.648367759	7.983860193	3.73624572475	3.600283241	3.7439942029999997	-3.1057092126666666	7.848113537714286	6.4614474484	1.9228181739999999	3.0176633849999996	11.038647390000001	8.41789359775	8.258766776
BA2286R	4.803374452833333	2.200429696111111	1.650337469	2.52904361975	3.263354741	8.204145034	5.48930483075	-3.795877392	5.0108509862	-1.1844313453333335	5.164776734142857	5.1138412434000005	1.3395753336666667	5.429839314	10.436107006	8.9691604905	9.418635582499999
