"","Proximity_Cluster","SampleID"
"1",2,"BA2488R"
"2",3,"BA3379R"
"3",3,"BA2712R"
"4",3,"BA2068R"
"5",1,"BA2104R"
"6",3,"BA3124R"
"7",1,"BA2235R"
"8",2,"BA3038R"
"9",3,"BA3006R"
"10",3,"BA2667R"
"11",3,"BA2239R"
"12",1,"BA2782R"
"13",4,"BA2649R"
"14",2,"BA2861R"
"15",2,"BA2909R"
"16",4,"BA2653R"
"17",4,"BA2162R"
"18",1,"BA2564R"
"19",4,"BA2597R"
"20",1,"BA2446R"
"21",3,"BA2525R"
"22",1,"BA2876R"
"23",4,"BA2357R"
"24",4,"BA2546R"
"25",3,"BA2742R"
"26",3,"BA2316R"
"27",3,"BA2087R"
"28",1,"BA2148R"
"29",1,"BA2072R"
"30",2,"BA2733R"
"31",4,"BA2995R"
"32",3,"BA2069R"
"33",4,"BA2681R"
"34",1,"BA2600R"
"35",3,"BA3230R"
"36",1,"BA2731R"
"37",2,"BA2294R"
"38",1,"BA2816R"
"39",3,"BA2814R"
"40",3,"BA2631R"
"41",1,"BA2023R"
"42",4,"BA2375R"
"43",3,"BA2455R"
"44",4,"BA2636R"
"45",1,"BA2325R"
"46",2,"BA2156R"
"47",4,"BA2511R"
"48",4,"BA2871R"
"49",3,"BA2227R"
"50",4,"BA2125R"
"51",3,"BA2603R"
"52",3,"BA2808R"
"53",2,"BA2482R"
"54",4,"BA2594R"
"55",3,"BA2747R"
"56",3,"BA2561R"
"57",3,"BA2906R"
"58",1,"BA2956R"
"59",3,"BA2474R"
"60",1,"BA2110R"
"61",1,"BA2992R"
"62",4,"BA2220R"
"63",3,"BA2772R"
"64",3,"BA2935R"
"65",1,"BA2260R"
"66",1,"BA2524R"
"67",2,"BA2811R"
"68",3,"BA2928R"
"69",4,"BA2302R"
"70",3,"BA2651R"
"71",4,"BA2619R"
"72",3,"BA3013R"
"73",3,"BA2405R"
"74",1,"BA2856R"
"75",4,"BA2377R"
"76",4,"BA2499R"
"77",1,"BA3023R"
"78",4,"BA2275R"
"79",1,"BA2901R"
"80",3,"BA2387R"
"81",3,"BA2962R"
"82",4,"BA2195R"
"83",4,"BA2688R"
"84",4,"BA2420R"
"85",1,"BA2053R"
"86",1,"BA2081R"
"87",2,"BA2354R"
"88",3,"BA3273R"
"89",3,"BA2893R"
"90",4,"BA2044R"
"91",4,"BA2489R"
"92",3,"BA2908R"
"93",1,"BA2054R"
"94",4,"BA2872R"
"95",4,"BA2041R"
"96",2,"BA2464R"
"97",4,"BA2902R"
"98",3,"BA2541R"
"99",3,"BA2843R"
"100",3,"BA2497R"
"101",2,"BA2718R"
"102",1,"BA2575R"
"103",2,"BA2791R"
"104",1,"BA2620R"
"105",3,"BA2629R"
"106",3,"BA2870R"
"107",3,"BA2682R"
"108",4,"BA2276R"
"109",1,"BA2709R"
"110",3,"BA2789R"
"111",4,"BA2538R"
"112",4,"BA2583R"
"113",3,"BA2806R"
"114",4,"BA2441R"
"115",4,"BA2514R"
"116",3,"BA2520R"
"117",3,"BA2932R"
"118",4,"BA2123R"
"119",2,"BA2844R"
"120",3,"BA2660R"
"121",3,"BA2836R"
"122",3,"BA2714R"
"123",4,"BA2440R"
"124",3,"BA2036R"
"125",1,"BA2828R"
"126",3,"BA2952R"
"127",3,"BA2410R"
"128",3,"BA2139R"
"129",1,"BA2051R"
"130",2,"BA2532R"
"131",4,"BA2494R"
"132",2,"BA2748R"
"133",4,"BA2622R"
"134",4,"BA2970R"
"135",4,"BA2839R"
"136",2,"BA2868R"
"137",4,"BA2052R"
"138",3,"BA2510R"
"139",2,"BA2374R"
"140",4,"BA2804R"
"141",3,"BA2675R"
"142",3,"BA2031R"
"143",3,"BA2198R"
"144",3,"BA2066R"
"145",4,"BA2344R"
"146",4,"BA2459R"
"147",1,"BA2229R"
"148",1,"BA2559R"
